tag,count,ratio
control_over_dynamics,530,0.223346
prophylactic_latent,434,0.182891
deferred_initiative,383,0.161399
control_file_seal,322,0.135693
neutral_maneuver,320,0.134850
winning_position_handling,301,0.126844
constructive_maneuver,289,0.121787
maneuver_opening,256,0.107880
cod_file_seal,252,0.106195
structural_integrity,225,0.094817
forced_move,207,0.087231
neutral_tension_creation,191,0.080489
prophylactic_direct,187,0.078803
control_regroup_consolidate,152,0.064054
structural_compromise_dynamic,133,0.056047
control_plan_kill,128,0.053940
opening_central_pawn_move,124,0.052255
risk_avoidance,121,0.050990
tension_creation,120,0.050569
positional_sacrifice,105,0.044248
control_king_safety_shell,101,0.042562
constructive_maneuver_prepare,100,0.042141
positional_space_sacrifice,99,0.041719
accurate_knight_bishop_exchange,64,0.026970
cod_regroup_consolidate,64,0.026970
losing_position_handling,63,0.026549
initiative_attempt,61,0.025706
cod_king_safety_shell,54,0.022756
failed_maneuver,48,0.020228
misplaced_maneuver,48,0.020228
control_freeze_bind,46,0.019385
cod_freeze_bind,39,0.016435
structural_compromise_static,32,0.013485
cod_plan_kill,30,0.012642
opening_rook_pawn_move,29,0.012221
premature_attack,28,0.011799
prophylactic_meaningless,28,0.011799
file_pressure_c,24,0.010114
positional_structure_sacrifice,22,0.009271
inaccurate_knight_bishop_exchange,20,0.008428
tactical_sacrifice,20,0.008428
control_space_clamp,18,0.007585
bad_knight_bishop_exchange,15,0.006321
tactical_initiative_sacrifice,11,0.004635
missed_tactic,10,0.004214
control_blockade_passed,9,0.003793
cod_blockade_passed,8,0.003371
prophylactic_failed,7,0.002950
tactical_combination_sacrifice,6,0.002528
first_choice,5,0.002107
tactical_sensitivity,5,0.002107
structural_blockage,4,0.001686
failed_prophylactic,3,0.001264
inaccurate_tactical_sacrifice,3,0.001264
speculative_sacrifice,2,0.000843
cod_space_clamp,1,0.000421
conversion_precision,1,0.000421
